OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos,Hora,año,maña,noch,tard,unknown_Hour,Mes
Aeroflot,Russia,1,16,11,0,0,0,1,0,0,1,0,0,1979,0,0,0,1,8
Aeroflot,Russia,1,63,63,0,1,0,0,0,0,0,0,0,1979,0,0,0,1,8
Aeroflot,Russia,1,44,40,1,0,0,0,0,0,0,0,1,1979,1,0,0,0,9
China Airlines (Taiwan),Taiwan,1,6,6,1,0,0,0,0,0,0,0,0,1979,0,0,0,1,9
Butler Aviation Inc.,United States,1,12,12,0,1,0,1,0,0,0,1,20,1979,0,1,0,0,9
Aero Transporti Italiani,Italia,1,31,31,0,1,0,0,0,0,0,1,0,1979,0,0,0,1,9
Pacific Coastal Airlines,Canada,1,9,4,0,0,0,0,0,0,0,1,0,1979,0,0,0,1,9
Military - U.S. Air Force,United States,1,5,5,1,0,0,0,0,0,0,0,0,1979,0,0,0,1,9
West Coast Air,Canada,1,16,2,0,0,0,0,1,0,0,1,13,1979,0,0,1,0,9
Swissair,Hellas,1,156,14,0,1,0,0,1,0,0,0,22,1979,0,1,0,0,10
Comair,United States,1,8,8,0,1,0,1,0,0,0,0,10,1979,1,0,0,0,10
Aeroflot,Russia,1,12,3,0,1,0,0,0,0,0,0,7,1979,1,0,0,0,10
Western Airlines,Mexico,1,88,72,0,1,0,1,0,0,0,1,5,1979,1,0,0,0,10
American Airlines,United States,1,78,0,0,1,1,0,0,0,0,0,12,1979,0,0,1,0,11
Aeroflot,Russia,1,5,3,1,0,0,0,0,0,0,0,18,1979,0,0,1,0,11
Transamerica Airlines,United States,1,3,3,0,1,0,1,1,0,0,1,4,1979,1,0,0,0,11
Pakistan International Airlines,Saudi Arabia,2,156,156,0,1,0,1,0,0,0,0,2,1979,1,0,0,0,11
Aerolineas La Gaviola,Colombia,1,9,9,0,0,0,0,0,0,0,0,0,1979,0,0,0,1,11
Aeroflot,Russia,1,7,7,1,0,0,0,0,0,0,0,0,1979,0,0,0,1,12
CAMBA,Bolivia,1,11,10,0,0,0,0,0,0,0,0,0,1979,0,0,0,1,12
SATENA,Colombia,1,21,21,1,0,0,0,0,0,0,0,0,1979,0,0,0,1,12
Fuerza Aérea del Peru,Peru,1,29,29,0,0,0,0,0,0,0,1,14,1979,0,0,1,0,12
Turkish Airlines (THY),Türkiye,1,45,41,0,1,1,0,0,0,0,1,0,1979,0,0,0,1,12
Douglas Airways,Papua Niugini,1,16,16,1,0,0,0,0,0,0,0,0,1979,0,0,0,1,12
Haïti Air Inter,Haiti,1,9,9,0,0,0,0,0,0,0,1,0,1980,0,0,0,1,1
Private charter,United States,1,2,2,0,0,0,1,0,0,1,0,1,1980,1,0,0,0,1
Ambler Air Service,United States,1,9,7,0,0,0,0,0,0,0,1,14,1980,0,0,1,0,1
Iran Air,Iran,2,128,128,0,1,0,0,0,0,0,1,19,1980,0,0,1,0,1
Pelita Air Service,Indonesia,1,13,13,0,1,0,0,0,0,0,1,0,1980,0,0,0,1,1
Military - Union of Burma Air Force,Myanmar,1,44,43,0,1,0,1,0,0,0,0,6,1980,1,0,0,0,1
Cubana de Aviacon,Cuba,1,37,1,0,1,0,0,0,0,0,0,0,1980,0,0,0,1,2
Rotor Airs Inc - Air Taxi,United States,1,7,6,0,0,0,0,0,0,1,0,8,1980,1,0,0,0,2
Advance Airlines,Australia,2,13,13,0,1,0,0,0,0,0,0,19,1980,0,0,1,0,2
Military - Indian Air Force,India,1,47,46,0,1,0,1,0,0,0,0,0,1980,0,0,0,1,2
China Airlines (Taiwan),Philippines,1,135,2,0,0,0,1,0,0,1,0,6,1980,1,0,0,0,2
LOT Polish Airlines,Poland,1,87,87,0,1,0,1,1,0,0,0,11,1980,1,0,0,0,3
Military - U.S. Air Force,Türkiye,1,18,18,0,0,0,1,1,0,0,0,15,1980,0,0,1,0,3
Eagle Commuter,United States,1,10,7,0,1,0,1,0,0,0,0,19,1980,0,0,1,0,3
VOTEC,Brazil,1,14,14,0,0,0,0,1,0,0,0,0,1980,0,0,0,1,3
Transbrasil,Brazil,1,58,55,0,1,0,1,0,0,0,1,20,1980,0,1,0,0,4
Aeroflot,Russia,1,53,2,0,1,0,1,0,0,1,0,20,1980,0,1,0,0,4
Military - U.S. Air Force,Iran,1,7,5,1,0,0,0,0,0,0,0,0,1980,0,0,0,1,4
Dan Air Services,spain,1,146,146,0,1,1,0,0,0,0,0,13,1980,0,0,1,0,4
Thai Airways,Thailand,1,53,44,0,1,1,1,0,0,1,1,6,1980,1,0,0,0,4
Lloyd Aereo Boliviano,Bolivia,1,13,13,0,1,0,0,0,0,0,0,0,1980,0,0,0,1,6
Lineas Aereas de Angola,Angola,1,29,29,0,1,0,1,0,0,0,0,15,1980,0,0,1,0,6
Aeroflot,Russia,1,29,29,0,1,0,0,0,0,0,1,13,1980,0,0,1,0,6
Air Wisconsin,United States,1,15,13,0,0,0,1,0,0,1,1,15,1980,0,0,1,0,6
Itavia,Italia,2,81,81,0,1,0,1,0,0,0,0,20,1980,0,1,0,0,6
Aeroflot,Russia,2,166,166,0,0,0,1,0,0,0,0,0,1980,0,0,0,1,7
Aeronaves del Peru,Mexico,1,7,3,0,1,0,0,0,0,0,1,0,1980,0,0,0,1,8
Air Logistics,United States,1,13,13,0,0,0,0,0,0,0,1,17,1980,0,0,1,0,8
Tarom,Mauritania,1,168,1,1,0,0,0,0,0,0,0,3,1980,1,0,0,0,8
Bouraq Indonesia Airlines,Indonesia,1,37,37,0,0,0,0,0,0,1,0,6,1980,1,0,0,0,8
Military - Kuwait Air Force,France,1,8,8,0,0,0,0,0,0,0,1,0,1980,0,0,0,1,9
Aeronorte Colombia,Colombia,1,3,3,0,0,0,1,1,0,0,1,0,1980,0,0,0,1,9
Florida Commuter Airlines,The Bahamas,1,34,34,0,1,1,1,0,0,0,1,20,1980,0,1,0,0,9
