OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos,Hora,año,maña,noch,tard,unknown_Hour,Mes
Military - U.S. Army,United States,1,2,1,0,1,0,0,0,0,1,0,17,1908,0,0,1,0,9
Unknown,France,1,1,1,1,0,0,0,0,0,0,0,0,1909,0,0,0,1,9
Military - U.S. Navy,United States,1,5,5,0,0,0,1,0,0,0,1,6,1912,1,0,0,0,7
Private,Canada,2,1,1,1,0,0,0,0,0,0,0,0,1913,0,0,0,1,8
Military - German Navy,North Sea,1,20,14,0,0,0,0,0,0,1,1,18,1913,0,0,1,0,9
Military - German Navy,Deutschland,1,28,28,0,0,0,1,0,0,0,0,10,1913,1,0,0,0,10
Military - German Navy,Belgium,1,41,17,0,1,0,0,0,0,0,1,1,1915,1,0,0,0,3
Military - German Navy,Deutschland,1,19,19,0,0,0,1,0,0,0,1,15,1915,0,0,1,0,9
Military - German Army,Italia,1,20,20,1,0,0,0,0,0,0,0,0,1916,0,0,0,1,7
Military - German Navy,United Kingdom,1,22,22,0,1,0,0,0,0,0,0,1,1916,1,0,0,0,9
Military - German Navy,United Kingdom,1,19,19,0,1,0,0,0,0,0,0,23,1916,0,1,0,0,10
Military - German Army,Deutschland,1,28,27,0,0,0,0,0,0,0,1,0,1916,0,0,0,1,11
Military - German Navy,United Kingdom,1,20,20,0,1,0,1,0,0,0,0,23,1916,0,1,0,0,11
Military - German Army,Belgium,1,20,20,0,0,0,1,0,0,0,0,0,1917,0,0,0,1,3
Military - German Navy,United States,1,23,23,0,0,0,0,0,0,0,1,0,1917,0,0,0,1,3
Military - German Navy,North Sea,1,21,21,0,0,0,1,0,0,0,0,5,1917,1,0,0,0,5
Military - German Navy,North Sea,1,24,24,0,1,0,0,0,0,0,0,8,1917,1,0,0,0,6
Unknown,United Kingdom,1,16,14,0,1,0,0,0,0,0,0,0,1917,0,0,0,1,6
Military - German Navy,Australia,1,18,18,0,1,0,0,0,0,0,0,7,1917,1,0,0,0,8
Military - German Navy,France,1,18,18,0,1,0,1,0,0,0,0,7,1917,1,0,0,0,10
Military - German Navy,Cyprus,1,23,23,0,0,0,1,0,0,0,0,21,1918,0,1,0,0,4
Military - German Navy,Deutschland,1,22,22,0,1,0,0,0,0,0,0,0,1918,0,0,0,1,8
Military - German Navy,North Sea,1,19,19,0,1,0,0,0,0,0,0,10,1918,1,0,0,0,8
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1918,0,0,0,1,12
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1919,0,0,0,1,5
US Aerial Mail Service,United States,1,1,1,1,0,0,0,0,0,0,0,0,1919,0,0,0,1,7
Caproni Company,Italia,1,14,14,0,0,0,0,1,0,0,0,0,1919,0,0,0,1,8
Aircraft Transport and Travel,United Kingdom,1,1,1,0,0,0,0,0,0,0,0,0,1919,0,0,0,1,10
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1919,0,0,0,1,10
Aircraft Transport and Travel,United Kingdom,1,0,0,0,1,0,0,0,0,0,1,0,1919,0,0,0,1,10
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,1,1,0,1919,0,0,0,1,10
Aircraft Travel Transport,United Kingdom,2,1,1,0,1,0,0,0,0,0,0,0,1919,0,0,0,1,12
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1920,0,0,0,1,3
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1920,0,0,0,1,3
US Aerial Mail Service,United States,1,2,1,0,1,0,1,0,0,0,0,0,1920,0,0,0,1,4
US Aerial Mail Service,United States,1,2,1,0,1,0,0,0,0,0,0,0,1920,0,0,0,1,4
US Aerial Mail Service,United States,1,2,1,0,0,0,0,0,0,0,1,0,1920,0,0,0,1,5
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1920,0,0,0,1,6
Compañia Colombiana de Navegación Aérea,Colombia,1,1,1,0,0,0,1,0,0,1,0,0,1920,0,0,0,1,7
By Air,United Kingdom,1,1,1,1,0,0,0,0,0,0,0,0,1920,0,0,0,1,8
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1920,0,0,0,1,8
US Aerial Mail Service,United States,1,2,2,0,0,0,1,0,0,0,0,0,1920,0,0,0,1,9
US Aerial Mail Service,United States,1,2,2,0,1,0,1,0,0,0,0,0,1920,0,0,0,1,9
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,1,1,0,1920,0,0,0,1,9
Latecoere Airlines,France,1,2,2,1,0,0,0,0,0,0,0,0,1920,0,0,0,1,10
Latecoere Airlines,spain,1,2,2,0,1,0,0,0,0,0,0,0,1920,0,0,0,1,10
US Aerial Mail Service,United States,1,1,1,0,1,0,0,1,0,0,1,0,1920,0,0,0,1,10
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1920,0,0,0,1,11
Handley Page Transport,United Kingdom,1,8,4,0,1,0,1,0,0,0,1,12,1920,0,0,1,0,12
Aeropostale,spain,1,1,1,0,0,0,1,0,0,0,0,0,1920,0,0,0,1,12
US Aerial Mail Service,in,1,1,1,0,0,0,1,0,0,0,0,0,1921,0,0,0,1,2
US Aerial Mail Service,United States,1,3,3,1,0,0,0,0,0,0,0,0,1921,0,0,0,1,2
Aeropostale,Gibraltar,1,2,2,0,1,0,0,0,0,0,1,0,1921,0,0,0,1,2
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1921,0,0,0,1,2
Military - Royal Australian Air Force,Australia,1,2,2,0,1,0,1,0,0,0,0,0,1921,0,0,0,1,4
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1921,0,0,0,1,4
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1921,0,0,0,1,4
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,0,0,1921,0,0,0,1,5
Aeropostale,France,1,2,2,0,0,0,0,0,0,0,0,0,1921,0,0,0,1,8
Military - Royal Airship Works,United Kingdom,1,49,43,0,0,0,1,1,0,1,1,17,1921,0,0,1,0,8
Franco-Roumaine,France,1,5,5,0,1,1,0,0,0,0,0,0,1921,0,0,0,1,9
West Australian Airways,Australia,1,2,2,0,1,0,0,0,0,0,0,0,1921,0,0,0,1,12
Handley Page Transport,France,1,5,5,1,0,0,0,0,0,0,0,0,1922,0,0,0,1,1
Military - U.S. Army Air Service,United States,1,45,34,0,0,0,1,0,0,0,0,0,1922,0,0,0,1,2
Aero Limited,North Atlantic,1,6,5,0,0,0,0,0,0,1,0,11,1922,1,0,0,0,3
Daimler Airways / Grands Express Aeriens,France,1,7,7,0,0,0,0,0,0,0,1,13,1922,0,0,1,0,4
Unknown,China,1,17,17,0,0,0,0,0,0,0,1,0,1922,0,0,0,1,4
Cie des Messageries Aeriennes,United Kingdom,2,3,3,1,0,0,0,0,0,0,0,0,1922,0,0,0,1,6
Unknown,Deutschland,1,3,2,0,0,0,1,0,0,0,1,0,1922,0,0,0,1,7
Compagnie Franco-Roumaine de Navigaation Aerienne,France,2,5,5,0,1,0,1,0,0,0,1,16,1922,0,0,1,0,7
Grands Express Aeriens,spain,1,3,3,0,1,0,1,0,0,0,0,0,1922,0,0,0,1,7
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1922,0,0,0,1,9
de Havilland Air Service,Italia,1,4,4,1,0,0,0,0,0,0,0,0,1922,0,0,0,1,10
Grands Express Aeriens,Morocco,1,2,2,1,0,0,0,0,0,0,0,0,1922,0,0,0,1,10
Grands Express Aeriens,Morocco,1,1,1,0,0,0,0,0,0,0,1,0,1922,0,0,0,1,12
Amee de l'Air,France,1,4,3,0,0,0,1,0,0,0,0,0,1923,0,0,0,1,1
Grands Express Aeriens,spain,1,1,1,0,1,0,0,0,0,0,1,0,1923,0,0,0,1,1
US Aerial Mail Service,United States,1,1,1,1,0,0,0,0,0,0,0,0,1923,0,0,0,1,1
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,1,0,1923,0,0,0,1,2
Grands Express Aeriens (Air Union),France,2,6,6,0,0,0,1,1,0,1,0,13,1923,0,0,1,0,5
Air Union,United Kingdom,1,11,1,0,1,0,1,0,0,0,0,17,1923,0,0,1,0,8
Campagnie France Roumaine,Romania,1,2,2,0,1,0,0,0,0,0,0,0,1923,0,0,0,1,8
US Aerial Mail Service,United States,1,1,1,0,1,0,0,0,0,0,0,0,1923,0,0,0,1,9
Daimler Airways,United Kingdom,2,5,5,0,1,0,0,0,0,0,1,18,1923,0,0,1,0,9
CCCP,Russia,1,5,3,0,1,0,0,0,0,0,0,0,1923,0,0,0,1,11
US Aerial Mail Service,United States,1,1,1,1,0,0,0,0,0,0,0,0,1923,0,0,0,1,12
Military - French Navy,Mediterranean Sea,1,52,52,0,0,0,0,0,0,1,1,2,1923,1,0,0,0,12
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1923,0,0,0,1,12
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1924,0,0,0,1,3
KLM Royal Dutch Airlines,Guernsey,1,3,3,1,0,0,0,0,0,0,0,0,1924,0,0,0,1,4
SCADTA,Colombia,1,5,5,0,0,0,1,0,0,0,0,0,1924,0,0,0,1,6
US Aerial Mail Service,United States,1,1,1,0,0,0,1,0,0,0,0,0,1924,0,0,0,1,8
Grands Express Aeriens,France,1,1,1,0,0,0,0,0,0,0,1,0,1924,0,0,0,1,11
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1924,0,0,0,1,12
Imperial Airways,United Kingdom,1,8,8,0,1,0,1,0,0,0,0,12,1924,0,0,1,0,12
Zakavia,Russia,2,5,5,1,0,0,0,0,0,0,0,0,1925,0,0,0,1,3
Grands Express Aeriens,spain,1,3,3,0,0,0,1,0,0,0,1,0,1925,0,0,0,1,4
KLM Royal Dutch Airlines,France,1,4,4,0,0,0,1,1,0,0,1,0,1925,0,0,0,1,6
Grands Express Aeriens,spain,1,2,2,0,1,0,0,0,0,0,1,0,1925,0,0,0,1,6
Lignes Aeriennes Latecoere,spain,1,1,1,1,0,0,0,0,0,0,0,0,1925,0,0,0,1,7
CIDNA,Hungary,1,1,1,0,1,1,0,0,0,0,0,0,1925,0,0,0,1,7
Military - U.S. Navy,United States,1,43,14,0,0,0,1,1,0,1,1,5,1925,1,0,0,0,9
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1925,0,0,0,1,10
Lignes Aeriennes Latecoere,Mauritania,1,1,1,0,0,0,0,0,0,0,1,0,1925,0,0,0,1,11
Air Union,France,1,2,2,0,0,0,0,0,0,0,0,0,1925,0,0,0,1,11
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1926,0,0,0,1,2
Deutche Lufthansa,Deutschland,1,1,1,0,1,0,1,0,0,0,0,0,1926,0,0,0,1,3
Air Union,Guernsey,1,1,1,1,0,0,0,0,0,0,0,0,1926,0,0,0,1,5
Compagnie Internationale de Navigation Aérienne,Philippines,1,6,6,0,1,0,0,0,0,0,1,0,1926,0,0,0,1,7
KLM Royal Dutch Airlines,Belgium,1,2,2,0,0,0,0,0,0,0,1,9,1926,1,0,0,0,7
Deutsche Lufthansa,Deutschland,1,5,5,0,0,0,0,0,0,0,1,0,1926,0,0,0,1,7
Air Union,United Kingdom,2,15,3,0,1,0,1,0,0,0,1,0,1926,0,0,0,1,8
Unknown,United States,1,5,2,0,1,0,1,0,0,0,0,0,1926,0,0,0,1,9
Air Union,in,2,7,7,0,1,0,1,0,0,0,0,15,1926,0,0,1,0,10
Deutsche Lufthansa,Deutschland,1,4,4,0,0,0,0,0,0,0,1,0,1926,0,0,0,1,10
Imperial Airways,Guernsey,1,12,0,0,0,0,1,0,0,1,0,13,1926,0,0,1,0,10
Grands Express Aeriens,Morocco,1,3,3,0,1,0,1,0,0,0,0,8,1926,1,0,0,0,11
Pacific Air Transport,United States,1,1,1,0,1,0,0,0,0,0,1,0,1926,0,0,0,1,12
Fokker,France,1,0,0,0,1,0,0,0,0,0,1,0,1927,0,0,0,1,1
Grands Express Aeriens,Morocco,1,1,1,1,0,0,0,0,0,0,0,0,1927,0,0,0,1,3
Qantas,Australia,2,3,3,0,1,0,1,0,0,0,0,0,1927,0,0,0,1,3
Varney Air Lines,United States,1,1,1,0,0,0,1,0,0,0,0,0,1927,0,0,0,1,4
Deutsche Lufthansa,Deutschland,1,2,2,0,0,0,1,0,0,0,0,0,1927,0,0,0,1,4
US Aerial Mail Service,United States,1,1,1,0,0,0,0,0,0,0,1,0,1927,0,0,0,1,4
Air Union,Algeria,1,3,1,0,0,0,1,0,0,0,0,0,1927,0,0,0,1,5
Deutsche Lufthansa,Deutschland,1,5,5,0,1,0,1,0,0,0,0,0,1927,0,0,0,1,7
KLM Royal Dutch Airlines,United Kingdom,1,11,1,0,1,0,0,0,0,1,0,8,1927,1,0,0,0,8
Colonial Air Transport,United States,1,1,1,1,0,0,0,0,0,0,0,0,1927,0,0,0,1,9
Reynolds Airways,United States,1,12,7,0,0,0,1,0,0,0,0,0,1927,0,0,0,1,9
Private,United States,1,3,3,1,0,0,0,0,0,0,0,4,1927,1,0,0,0,9
Deutsche Lufthansa,Deutschland,1,6,6,0,0,0,0,1,0,1,0,10,1927,1,0,0,0,9
Lignes Aeriennes Latecoere,Mauritania,1,2,2,0,1,0,0,0,0,0,0,0,1927,0,0,0,1,10
Colonial Air Transport,United States,1,4,4,0,0,1,0,0,0,0,0,0,1927,0,0,0,1,10
CIDNA,France,1,1,1,1,0,0,0,0,0,0,0,0,1927,0,0,0,1,11
Aero O-Y,Estonia,1,6,6,1,0,0,0,0,0,0,0,0,1927,0,0,0,1,11
National Air Transport,United States,1,1,1,0,0,0,0,0,0,0,1,0,1927,0,0,0,1,11
Aeropostale,spain,1,1,1,0,0,0,1,0,0,0,0,0,1927,0,0,0,1,12
Latecoere Airlines,France,1,5,5,0,0,0,1,0,0,0,0,0,1927,0,0,0,1,12
Colonial Western Airlines,United States,1,3,3,0,0,0,0,0,0,0,1,0,1928,0,0,0,1,1
Aeropostale,Uruguay,1,2,2,0,0,0,0,1,0,0,0,0,1928,0,0,0,1,1
Aeropostale,France,1,1,1,0,1,0,1,0,0,0,0,0,1928,0,0,0,1,1
Aeropostale,spain,1,2,2,1,0,0,0,0,0,0,0,0,1928,0,0,0,1,1
Aeropostale,spain,1,1,1,0,0,0,0,0,0,1,1,0,1928,0,0,0,1,1
Boeing Air Transport,United States,1,2,1,0,0,0,1,0,0,0,1,0,1928,0,0,0,1,2
Air Union,France,1,2,2,0,0,0,0,0,0,0,1,0,1928,0,0,0,1,3
Boeing Air Transport,United States,1,2,1,0,0,0,0,0,0,0,1,0,1928,0,0,0,1,4
Iberia Airlines,spain,1,9,9,0,0,0,0,0,0,0,1,0,1928,0,0,0,1,4
Aeropostale,Brazil,3,5,1,0,0,0,1,0,0,0,0,0,1928,0,0,0,1,5
Ford Air Freight Inc.,United States,1,2,2,1,0,0,0,0,0,0,0,0,1928,0,0,0,1,5
Deutsche Lufthansa,Deutschland,1,5,3,0,1,0,1,0,0,0,1,0,1928,0,0,0,1,5
Deutsche Lufthansa,Deutschland,1,5,5,1,0,0,0,0,0,0,0,0,1928,0,0,0,1,6
National Air Transport,United States,1,1,1,0,0,0,0,0,0,0,1,0,1928,0,0,0,1,6
Aero O-Y,Estonia,1,6,6,1,0,0,0,0,0,0,0,0,1928,0,0,0,1,7
Imperial Airways,United Kingdom,1,6,4,0,1,1,1,0,0,0,0,0,1928,0,0,0,1,7
KLM Royal Dutch Airlines,The Netherlands,1,6,1,0,1,0,1,0,0,0,0,14,1928,0,0,1,0,7
British Columbia Airways,Canada,2,7,7,0,0,0,0,0,0,0,1,11,1928,1,0,0,0,8
CIDNA,France,1,5,5,0,0,0,1,0,0,0,0,9,1928,1,0,0,0,9
Qantas,Australia,1,2,1,0,0,0,1,0,0,0,1,0,1928,0,0,0,1,9
National Parks Airways,United States,1,7,7,0,1,0,0,0,0,0,1,11,1928,1,0,0,0,9
Deutsche Lufthansa,Deutschland,1,3,3,0,0,0,1,0,0,0,0,0,1928,0,0,0,1,9
Aeropostale,spain,1,3,3,0,1,0,0,0,0,0,1,0,1928,0,0,0,1,10
National Air Transport,United States,1,1,1,0,0,0,1,0,0,0,1,0,1928,0,0,0,1,10
Air Union,France,1,2,1,0,1,0,0,0,0,0,0,0,1928,0,0,0,1,10
Aeropostale,Gibraltar,1,3,1,0,1,0,1,0,0,0,1,0,1928,0,0,0,1,11
Universal Airlines,United States,1,3,3,0,0,0,0,0,0,0,1,0,1928,0,0,0,1,11
Continental Air Lines,United States,1,1,1,0,0,0,0,0,0,0,1,0,1928,0,0,0,1,11
National Air Transport,United States,1,1,1,0,0,0,0,0,0,0,1,0,1928,0,0,0,1,11
Sunbeam Air Transport Co.,United States,1,5,5,0,0,0,1,0,0,0,0,10,1928,1,0,0,0,12
Syndicato Condor,Brazil,1,14,14,0,0,0,1,0,0,0,0,8,1928,1,0,0,0,12
Spokane Airways,United States,1,5,5,0,1,0,0,0,0,0,1,10,1928,1,0,0,0,12
Deutsche Lufthansa,Deutschland,1,4,3,0,1,0,0,0,0,1,0,0,1928,0,0,0,1,12
National Air Transport,United States,1,1,1,0,1,0,0,0,0,0,1,0,1928,0,0,0,1,12
Interstate Airlines,United States,1,4,4,0,0,0,0,0,0,0,0,0,1928,0,0,0,1,12
CIDNA,France,1,3,2,0,0,0,0,0,0,0,1,0,1928,0,0,0,1,12
Colonial Air Transport,United States,1,1,1,0,1,0,0,0,0,0,1,0,1929,0,0,0,1,1
Varney Air Lines,United States,1,1,1,0,1,0,0,0,0,0,0,0,1929,0,0,0,1,1
Aeroespresso,Hellas,1,9,2,0,0,0,0,0,0,0,1,0,1929,0,0,0,1,1
Aeropostale,Morocco,1,2,2,1,0,0,0,0,0,0,0,0,1929,0,0,0,1,1
Skyline Transportation Company,United States,1,1,1,0,1,0,0,0,0,0,0,0,1929,0,0,0,1,1
Colonial Western Airlines,United States,1,15,14,0,1,0,1,0,0,0,0,17,1929,0,0,1,0,3
New Standard Airlines,United States,1,4,4,0,1,1,0,0,0,0,1,9,1929,1,0,0,0,3
Maddux Airlines / Military - U.S.Army Air Force,United States,1,6,6,0,1,0,0,0,0,0,0,11,1929,1,0,0,0,4
Mexicana,Mexico,1,5,5,0,0,0,1,0,0,0,0,0,1929,0,0,0,1,5
MALERT,Hungary,1,2,2,0,0,0,0,1,0,0,0,0,1929,0,0,0,1,5
Aeropostale,Algeria,1,6,4,1,0,0,0,0,0,0,0,0,1929,0,0,0,1,5
Pan American Airways,Cuba,1,5,2,0,0,0,0,0,0,0,0,8,1929,1,0,0,0,6
Aeropostale,spain,1,2,1,0,0,0,0,0,0,1,0,0,1929,0,0,0,1,6
Imperial Airways,United Kingdom,1,13,7,0,0,1,1,1,0,0,0,11,1929,1,0,0,0,6
Northwest Orient Airlines,United States,1,8,1,0,0,0,1,0,0,0,0,0,1929,0,0,0,1,6
Bodensee Aerolloyd,Deutschland,2,5,5,0,1,0,0,0,0,1,0,21,1929,0,1,0,0,6
Continental Air Lines,United States,1,1,1,0,1,0,1,0,0,0,1,0,1929,0,0,0,1,6
Middle States Airlines,United States,1,4,4,1,0,0,0,0,0,0,0,0,1929,0,0,0,1,8
Ukvozduchput,Russia,1,1,1,1,0,0,0,0,0,0,0,0,1929,0,0,0,1,8
Deutsche Lufthansa,Deutschland,1,5,4,0,0,0,0,0,0,0,1,0,1929,0,0,0,1,8
Associated Aviators,United States,1,2,1,0,0,0,0,0,0,0,1,0,1929,0,0,0,1,9
Trans Continental Air Transport,United States,2,8,8,0,0,0,0,0,0,0,1,11,1929,1,0,0,0,9
Imperial Airways,Iran,1,5,3,0,0,0,0,0,0,0,1,0,1929,0,0,0,1,9
Aeropostale,North Atlantic,1,6,6,1,0,0,0,0,0,0,0,0,1929,0,0,0,1,9
Skyways,Canada,1,6,6,1,0,0,0,0,0,0,0,18,1929,0,0,1,0,9
Colonial Air Transport,United States,1,1,1,0,0,0,0,0,0,0,1,0,1929,0,0,0,1,9
Aeropostale,Morocco,1,5,5,1,0,0,0,0,0,0,0,0,1929,0,0,0,1,9
Pickwick Airways,United States,1,2,1,0,1,0,0,0,0,0,1,0,1929,0,0,0,1,9
Imperial Airways,Italia,1,7,7,0,0,0,0,0,0,0,1,18,1929,0,0,1,0,10
Continental Air Lines,United States,1,1,1,0,0,0,0,0,0,0,1,0,1929,0,0,0,1,10
Bremerton-Seattle Air Taxi / Gorst Air Lines,United States,1,2,2,1,0,0,0,0,0,0,0,0,1929,0,0,0,1,10
Corp. Aeronautica de Transportes,Mexico,1,4,4,0,0,0,0,0,0,0,1,7,1929,1,0,0,0,11
Deutsche Lufthansa,United Kingdom,2,8,7,0,1,0,0,0,0,0,1,10,1929,1,0,0,0,11
Air Union,France,1,3,3,0,0,0,0,0,0,0,1,9,1929,1,0,0,0,11
S.A.M. Società Aerea Mediterranea,in,1,12,1,0,0,0,0,0,0,0,1,0,1929,0,0,0,1,11
Varney Air Lines,United States,1,1,1,0,0,0,0,0,0,0,1,0,1929,0,0,0,1,11
National Air Transport,United States,1,1,1,0,0,0,0,0,0,0,1,0,1929,0,0,0,1,12
Deutsche Lufthansa,Deutschland,1,3,2,0,0,1,0,0,0,0,1,0,1929,0,0,0,1,12
Trans Continental Air Transport,United States,1,5,5,0,1,0,0,0,0,0,0,17,1929,0,0,1,0,12
Boeing Air Transport,United States,1,1,1,0,1,0,0,0,0,0,1,0,1930,0,0,0,1,1
Air Orient,Madagascar,1,3,3,1,0,0,0,0,0,0,0,0,1930,0,0,0,1,1
Maddux Airlines,United States,1,16,16,0,0,0,1,1,0,0,1,18,1930,0,0,1,0,1
Aeropostale,spain,1,2,2,0,0,0,0,0,0,0,1,0,1930,0,0,0,1,1
Central  Airlines (Universal Aviation Corporation),United States,1,5,5,0,1,0,1,0,0,0,0,17,1930,0,0,1,0,1
Colonial Air Transport,United States,1,1,1,0,1,0,0,0,0,0,0,0,1930,0,0,0,1,2
Air Union,United Kingdom,1,6,2,0,1,0,1,1,0,0,1,0,1930,0,0,0,1,2
Canadian Colonial Airways,United States,1,4,4,0,0,0,0,0,0,1,1,17,1930,0,0,1,0,4
Aeropostale,Argentina,1,4,3,0,0,0,0,0,0,0,1,0,1930,0,0,0,1,5
Colonial Air Transport,United States,1,15,1,0,0,0,1,0,0,0,0,0,1930,0,0,0,1,6
Deutsche Lufthansa,Denmark,1,8,5,0,1,0,1,0,0,0,1,0,1930,0,0,0,1,7
Cross Airways,United States,1,5,5,0,0,0,1,0,0,0,1,0,1930,0,0,0,1,7
Walcot Air Line,United Kingdom,2,6,6,1,0,0,0,0,0,0,0,15,1930,0,0,1,0,7
Ceskoslovenske Aerolinie,Philippines,1,11,10,0,1,0,0,0,0,0,0,15,1930,0,0,1,0,8
Sabena,United Kingdom,1,2,2,1,0,0,0,0,0,0,0,0,1930,0,0,0,1,9
Western Canada Airways,Canada,2,3,3,0,1,0,0,0,0,0,1,0,1930,0,0,0,1,9
Military - British Air Ministry,France,1,54,48,0,0,0,0,0,0,0,1,2,1930,1,0,0,0,10
Deutsche Lufthansa,Deutschland,1,8,8,0,1,0,0,0,0,0,1,9,1930,1,0,0,0,10
Aeropostale,Morocco,1,4,4,0,1,0,0,0,0,0,0,0,1930,0,0,0,1,10
Wings Ltd,Australia,1,3,3,1,0,0,0,0,0,0,0,0,1930,0,0,0,1,10
Alaska-Washington Airways,Canada,2,3,3,1,0,0,0,0,0,0,0,0,1930,0,0,0,1,10
Imperial Airways,France,1,6,3,0,0,0,1,0,0,0,1,0,1930,0,0,0,1,10
Embry Riddle Company,United States,1,1,1,0,0,0,1,0,0,0,0,0,1930,0,0,0,1,10
Syndicato Condor,Brazil,1,9,1,1,0,0,0,0,0,0,0,0,1930,0,0,0,1,11
Pacific Air Transport,United States,1,3,3,0,0,0,0,0,0,0,1,20,1930,0,1,0,0,11
China National Aviation Corporation,China,1,6,4,0,1,0,0,1,0,0,0,0,1930,0,0,0,1,12
Sabena,Belgium,1,2,2,0,0,0,0,0,0,0,1,22,1931,0,1,0,0,1
Varney Air Lines,United States,1,1,1,0,1,0,0,0,0,0,1,0,1931,0,0,0,1,1
Dominion Air Lines,New Zealand,1,3,3,0,0,0,1,0,0,0,0,0,1931,0,0,0,1,2
Western Canada Airways,Canada,2,3,2,0,0,0,0,0,0,0,1,0,1931,0,0,0,1,2
Aeropostale,spain,1,3,1,0,0,0,0,0,0,1,0,0,1931,0,0,0,1,2
Australian National Airways,Australia,1,8,8,0,1,0,1,0,0,0,1,13,1931,0,0,1,0,3
Trans Continental and Western Air,United States,1,8,8,0,0,0,0,1,0,0,1,10,1931,1,0,0,0,3
Deutsche Lufthansa,Deutschland,1,10,2,0,0,0,1,0,0,0,0,0,1931,0,0,0,1,4
Pacific Air Transport,United States,1,2,2,0,1,1,0,0,0,0,1,23,1931,0,1,0,0,5
Guiena Airways,Australia,1,1,1,0,0,0,0,0,0,0,1,0,1931,0,0,0,1,5
National Air Transport,United States,1,1,1,0,1,0,1,0,0,0,1,22,1931,0,1,0,0,5
Air Orient,Myanmar,1,4,4,0,1,0,1,0,0,0,1,9,1931,1,0,0,0,6
Rubner Flying Service,United States,1,3,2,0,1,0,0,1,0,0,0,0,1931,0,0,0,1,6
Deutsche Lufthansa,Deutschland,1,4,4,0,0,0,1,0,0,0,1,0,1931,0,0,0,1,6
Braniff Airlines,United States,1,2,2,0,0,1,1,0,0,0,0,0,1931,0,0,0,1,7
Australian Aerial Services,Australia,1,2,2,0,0,0,0,0,0,0,0,0,1931,0,0,0,1,7
American Airways,United States,1,1,1,0,0,0,0,0,0,0,0,0,1931,0,0,0,1,7
CIDNA,Bulgaria,1,7,7,0,0,0,1,0,0,0,0,0,1931,0,0,0,1,7
American Airways,United States,1,6,6,0,0,0,1,0,0,1,0,8,1931,1,0,0,0,8
Chicago-Detroit Airways,United States,1,1,1,0,1,0,0,0,0,0,0,20,1931,0,1,0,0,9
CIDNA,Romania,2,6,6,1,0,0,0,0,0,0,0,0,1931,0,0,0,1,9
Pacific Air Transport,United States,1,4,4,0,0,1,0,0,0,0,0,4,1931,1,0,0,0,9
Deutsche Lufthansa,Canada,1,3,3,1,0,0,0,0,0,0,0,0,1931,0,0,0,1,10
Syndicato Condor,Brazil,1,3,3,0,0,0,0,0,0,0,0,0,1931,0,0,0,1,10
"NY, Phil., Washington AW",United States,1,5,5,0,1,1,0,0,0,0,0,6,1931,1,0,0,0,11
Union Airways,South Africa,1,3,3,0,1,0,0,1,0,0,1,0,1931,0,0,0,1,11
Boeing Air Transport,United States,1,1,1,0,1,1,0,0,0,0,1,0,1931,0,0,0,1,11
China National Aviation Corporation,China,1,3,3,0,1,0,0,0,0,0,1,0,1931,0,0,0,1,11
Varney Air Lines,United States,1,1,1,0,1,0,0,0,0,0,1,22,1931,0,1,0,0,11
Braniff Airways,United States,1,6,2,0,1,0,0,0,0,0,1,0,1931,0,0,0,1,12
KLM Royal Dutch Airlines,Thailand,1,7,5,1,0,0,0,0,0,0,0,5,1931,1,0,0,0,12
Aeropostale,Algeria,1,2,2,0,0,0,1,0,0,0,0,0,1931,0,0,0,1,12
American Airways,United States,1,5,4,0,0,1,0,1,0,0,1,0,1931,0,0,0,1,12
Northwest Airways,United States,1,1,1,0,0,0,0,0,0,0,1,0,1932,0,0,0,1,1
