fecha,HORA declarada,OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,Cause,Cause_Category,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos
1997-09-26,13:34:00,Garuda Indonesia Airlines,Indonesia,1,234,234,"['airport', 'land', 'mountainous', 'visibility', 'wrong']",fallas_gestion_trafico;errores_humanos;errores_humanos;problemas_meteorologicos;errores_humanos,0,1,1,0,0,0,0,1
1997-10-08,07:23:00,Scenic Airlines,United States,1,9,9,"['failure', 'instrument', 'maintain', 'meteorological', 'stall']",fallos_equipos;fallos_equipos;problemas_mantenimiento;problemas_meteorologicos;fallos_equipos,0,0,0,1,0,0,1,1
1997-10-10,22:23:00,Austral Lineas Aeras (Argentina),Uruguay,1,74,74,"['hail', 'icing', 'rain']",problemas_meteorologicos;problemas_meteorologicos;problemas_meteorologicos,0,0,0,0,0,0,0,1
1997-10-10,00:00:00,Military - Republic of China Air Force,Taiwan,1,5,5,['weather'],problemas_meteorologicos,0,0,0,0,0,0,0,1
1997-10-12,17:28:00,Private,United States,2,1,1,"['airport', 'engine', 'fuel']",fallas_gestion_trafico;fallos_equipos;problemas_mantenimiento,0,0,1,1,0,0,1,0
1997-10-29,00:00:00,Ariana Afghan Airlines,Afghanistan,1,26,2,['landing'],errores_humanos,0,1,0,0,0,0,0,0
1997-11-08,08:08:00,Hageland Aviation Services,United States,1,8,8,"['fuel', 'improper', 'inadequate', 'management', 'pressure', 'stall', 'takeoff']",problemas_mantenimiento;errores_humanos;errores_humanos;fallas_gestion_trafico;fallos_equipos;fallos_equipos,0,1,1,1,0,0,1,0
1997-12-05,14:46:00,Military - Russian Air Force,Russia,1,23,23,"['design', 'engines', 'failed', 'flaw', 'pressure', 'system', 'takeoff']",problemas_disenio;fallos_equipos;fallos_equipos;problemas_disenio;fallos_equipos;fallos_equipos,0,0,0,1,1,0,0,0
1997-12-09,15:26:00,Sowind Air,Canada,1,17,4,"['approach', 'error', 'navigational', 'procedural', 'weather']",errores_humanos;fallos_equipos;fallas_gestion_trafico;errores_humanos;problemas_meteorologicos,0,1,1,1,0,0,0,1
1997-12-13,17:05:00,STAP,Bolivia,1,19,10,"['engines', 'gear', 'landing', 'power', 'trees']",fallos_equipos;fallos_equipos;errores_humanos;problemas_mantenimiento;problemas_meteorologicos,0,1,0,1,0,0,1,1
1997-12-15,18:35:00,Tajikistan Airlines,The United Arab Emirates,1,86,85,"['burned', 'fatigue', 'land', 'turbulence']",fallos_equipos;problemas_disenio;errores_humanos;problemas_meteorologicos,0,1,0,1,1,0,0,1
1997-12-17,19:13:00,Aerosweet Airlines (LVOV),Hellas,1,70,70,"['approach', 'failed', 'land', 'landing', 'mountain', 'training']",errores_humanos;fallos_equipos;errores_humanos;errores_humanos;errores_humanos;errores_humanos,0,1,0,1,0,0,0,0
1997-12-19,16:13:00,SilkAir,Indonesia,1,104,104,"['insufficient', 'weather', 'wing']",errores_humanos;problemas_meteorologicos;problemas_disenio,0,1,0,0,1,0,0,1
1997-12-20,00:00:00,Military - Greek Air Force,Hellas,1,5,5,"['mountains', 'wreckage']",errores_humanos;fallos_equipos,0,1,0,1,0,0,0,0
1997-12-27,00:00:00,Renan Airways,in,1,5,5,['shot'],errores_humanos,0,1,0,0,0,0,0,0
1997-12-28,23:10:00,United Air Lines,Pacific Ocean,1,393,1,"['landed', 'turbulence']",errores_humanos;problemas_meteorologicos,0,1,0,0,0,0,0,1
1997-12-31,07:45:00,Parsa,Panama,1,10,10,"['dense', 'fog']",problemas_meteorologicos;problemas_meteorologicos,0,0,0,0,0,0,0,1
1998-01-13,18:30:00,Aeroservice International,Czechia,1,2,2,"['approach', 'fog', 'visibility']",errores_humanos;problemas_meteorologicos;problemas_meteorologicos,0,1,0,0,0,0,0,1
